// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 24 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891
// command took 2.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891
// command took 3.79s and exited with 0
// ***** Done, took 00:00:06 (6.38 sec)   *****
// Found 6 benchmarks:
//   FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
//   FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
//   FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=100]
//   FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=100]
//   FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10000]
//   FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10000]

// **************************
// Benchmark: FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "068092ff-4344-4509-9990-50206e6cc891.dll" --benchmarkName "ObjectMapperBenchMark.Mappers.FastMemberObjectMapperBenchMark.As(Rows: 10)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.8 (CoreCLR 4.6.28207.03, CoreFX 4.6.28208.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-UTNKKR(InvocationCount=1, UnrollFactor=1)

WorkloadResult  49: 1 op, 667100.00 ns, 667.1000 us/op
WorkloadResult  50: 1 op, 661900.00 ns, 661.9000 us/op
WorkloadResult  51: 1 op, 709400.00 ns, 709.4000 us/op
WorkloadResult  52: 1 op, 677800.00 ns, 677.8000 us/op
WorkloadResult  53: 1 op, 766700.00 ns, 766.7000 us/op
WorkloadResult  54: 1 op, 720800.00 ns, 720.8000 us/op
WorkloadResult  55: 1 op, 674900.00 ns, 674.9000 us/op
WorkloadResult  56: 1 op, 663500.00 ns, 663.5000 us/op
WorkloadResult  57: 1 op, 689600.00 ns, 689.6000 us/op
WorkloadResult  58: 1 op, 716000.00 ns, 716.0000 us/op
WorkloadResult  59: 1 op, 714300.00 ns, 714.3000 us/op
WorkloadResult  60: 1 op, 656700.00 ns, 656.7000 us/op
WorkloadResult  61: 1 op, 663600.00 ns, 663.6000 us/op
WorkloadResult  62: 1 op, 665400.00 ns, 665.4000 us/op

// AfterAll
// Benchmark Process 5000 has exited with code 0

Mean = 692.219 μs, StdErr = 3.967 μs (0.57%), N = 62, StdDev = 31.235 μs
Min = 656.700 μs, Q1 = 664.675 μs, Median = 687.450 μs, Q3 = 708.450 μs, Max = 780.800 μs
IQR = 43.775 μs, LowerFence = 599.013 μs, UpperFence = 774.113 μs
ConfidenceInterval = [678.505 μs; 705.934 μs] (CI 99.9%), Margin = 13.714 μs (1.98% of Mean)
Skewness = 1.11, Kurtosis = 3.67, MValue = 2.24

// **************************
// Benchmark: JsonObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "068092ff-4344-4509-9990-50206e6cc891.dll" --benchmarkName "ObjectMapperBenchMark.Mappers.JsonObjectMapperBenchMark.AsArray(Rows: 10)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 7 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.8 (CoreCLR 4.6.28207.03, CoreFX 4.6.28208.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-XUIMQV(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 357700.00 ns, 357.7000 us/op
WorkloadJitting  1: 1 op, 391827000.00 ns, 391.8270 ms/op

OverheadWarmup   1: 1 op, 3200.00 ns, 3.2000 us/op
OverheadWarmup   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   7: 1 op, 200.00 ns, 200.0000 ns/op

OverheadActual   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   5: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   6: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  10: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  13: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  14: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  15: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  16: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  17: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  18: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  19: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  20: 1 op, 100.00 ns, 100.0000 ns/op

WorkloadWarmup   1: 1 op, 2642100.00 ns, 2.6421 ms/op
WorkloadWarmup   2: 1 op, 2585800.00 ns, 2.5858 ms/op
WorkloadWarmup   3: 1 op, 2854300.00 ns, 2.8543 ms/op
WorkloadWarmup   4: 1 op, 2576000.00 ns, 2.5760 ms/op
WorkloadWarmup   5: 1 op, 2533200.00 ns, 2.5332 ms/op
WorkloadWarmup   6: 1 op, 2550500.00 ns, 2.5505 ms/op
WorkloadWarmup   7: 1 op, 2770900.00 ns, 2.7709 ms/op
WorkloadWarmup   8: 1 op, 2561500.00 ns, 2.5615 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 2640100.00 ns, 2.6401 ms/op
WorkloadActual   2: 1 op, 2941100.00 ns, 2.9411 ms/op
WorkloadActual   3: 1 op, 2553900.00 ns, 2.5539 ms/op
WorkloadActual   4: 1 op, 2571300.00 ns, 2.5713 ms/op
WorkloadActual   5: 1 op, 2644400.00 ns, 2.6444 ms/op
WorkloadActual   6: 1 op, 2619500.00 ns, 2.6195 ms/op
WorkloadActual   7: 1 op, 2597300.00 ns, 2.5973 ms/op
WorkloadActual   8: 1 op, 2581300.00 ns, 2.5813 ms/op
WorkloadActual   9: 1 op, 2545700.00 ns, 2.5457 ms/op
WorkloadActual  10: 1 op, 2604900.00 ns, 2.6049 ms/op
WorkloadActual  11: 1 op, 2785600.00 ns, 2.7856 ms/op
WorkloadActual  12: 1 op, 2536700.00 ns, 2.5367 ms/op
WorkloadActual  13: 1 op, 2696400.00 ns, 2.6964 ms/op
WorkloadActual  14: 1 op, 2627200.00 ns, 2.6272 ms/op
WorkloadActual  15: 1 op, 2538200.00 ns, 2.5382 ms/op
WorkloadActual  16: 1 op, 2851800.00 ns, 2.8518 ms/op
WorkloadActual  17: 1 op, 2609700.00 ns, 2.6097 ms/op
WorkloadActual  18: 1 op, 2535600.00 ns, 2.5356 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 2640000.00 ns, 2.6400 ms/op
WorkloadResult   2: 1 op, 2553800.00 ns, 2.5538 ms/op
WorkloadResult   3: 1 op, 2571200.00 ns, 2.5712 ms/op
WorkloadResult   4: 1 op, 2644300.00 ns, 2.6443 ms/op
WorkloadResult   5: 1 op, 2619400.00 ns, 2.6194 ms/op
WorkloadResult   6: 1 op, 2597200.00 ns, 2.5972 ms/op
WorkloadResult   7: 1 op, 2581200.00 ns, 2.5812 ms/op
WorkloadResult   8: 1 op, 2545600.00 ns, 2.5456 ms/op
WorkloadResult   9: 1 op, 2604800.00 ns, 2.6048 ms/op
WorkloadResult  10: 1 op, 2536600.00 ns, 2.5366 ms/op
WorkloadResult  11: 1 op, 2696300.00 ns, 2.6963 ms/op
WorkloadResult  12: 1 op, 2627100.00 ns, 2.6271 ms/op
WorkloadResult  13: 1 op, 2538100.00 ns, 2.5381 ms/op
WorkloadResult  14: 1 op, 2609600.00 ns, 2.6096 ms/op
WorkloadResult  15: 1 op, 2535500.00 ns, 2.5355 ms/op

// AfterAll
// Benchmark Process 13784 has exited with code 0

Mean = 2.593 ms, StdErr = 0.012 ms (0.47%), N = 15, StdDev = 0.048 ms
Min = 2.536 ms, Q1 = 2.550 ms, Median = 2.597 ms, Q3 = 2.623 ms, Max = 2.696 ms
IQR = 0.074 ms, LowerFence = 2.439 ms, UpperFence = 2.734 ms
ConfidenceInterval = [2.543 ms; 2.644 ms] (CI 99.9%), Margin = 0.051 ms (1.96% of Mean)
Skewness = 0.41, Kurtosis = 2.14, MValue = 2

// **************************
// Benchmark: JsonObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "068092ff-4344-4509-9990-50206e6cc891.dll" --benchmarkName "ObjectMapperBenchMark.Mappers.JsonObjectMapperBenchMark.As(Rows: 100)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 8 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.8 (CoreCLR 4.6.28207.03, CoreFX 4.6.28208.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-TTUAZK(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 487100.00 ns, 487.1000 us/op
WorkloadJitting  1: 1 op, 374826600.00 ns, 374.8266 ms/op

OverheadWarmup   1: 1 op, 3200.00 ns, 3.2000 us/op
OverheadWarmup   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   7: 1 op, 200.00 ns, 200.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   4: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  13: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual  14: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  15: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  16: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 100.00 ns, 100.0000 ns/op

WorkloadWarmup   1: 1 op, 779200.00 ns, 779.2000 us/op
WorkloadWarmup   2: 1 op, 688300.00 ns, 688.3000 us/op
WorkloadWarmup   3: 1 op, 785900.00 ns, 785.9000 us/op
WorkloadWarmup   4: 1 op, 697500.00 ns, 697.5000 us/op
WorkloadWarmup   5: 1 op, 704700.00 ns, 704.7000 us/op
WorkloadWarmup   6: 1 op, 668500.00 ns, 668.5000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 724700.00 ns, 724.7000 us/op
WorkloadActual   2: 1 op, 683400.00 ns, 683.4000 us/op
WorkloadActual   3: 1 op, 851500.00 ns, 851.5000 us/op
WorkloadActual   4: 1 op, 754900.00 ns, 754.9000 us/op
WorkloadActual   5: 1 op, 694900.00 ns, 694.9000 us/op
WorkloadActual   6: 1 op, 651400.00 ns, 651.4000 us/op
WorkloadActual   7: 1 op, 686700.00 ns, 686.7000 us/op
WorkloadActual   8: 1 op, 735900.00 ns, 735.9000 us/op
WorkloadActual   9: 1 op, 880800.00 ns, 880.8000 us/op
WorkloadActual  10: 1 op, 703600.00 ns, 703.6000 us/op
WorkloadActual  11: 1 op, 720200.00 ns, 720.2000 us/op
WorkloadActual  12: 1 op, 670900.00 ns, 670.9000 us/op
WorkloadActual  13: 1 op, 667200.00 ns, 667.2000 us/op
WorkloadActual  14: 1 op, 707500.00 ns, 707.5000 us/op
WorkloadActual  15: 1 op, 800900.00 ns, 800.9000 us/op
WorkloadActual  16: 1 op, 719100.00 ns, 719.1000 us/op
WorkloadActual  17: 1 op, 708600.00 ns, 708.6000 us/op
WorkloadActual  18: 1 op, 667100.00 ns, 667.1000 us/op
WorkloadActual  19: 1 op, 671400.00 ns, 671.4000 us/op
WorkloadActual  20: 1 op, 845100.00 ns, 845.1000 us/op
WorkloadActual  21: 1 op, 714600.00 ns, 714.6000 us/op
WorkloadActual  22: 1 op, 673800.00 ns, 673.8000 us/op
WorkloadActual  23: 1 op, 672000.00 ns, 672.0000 us/op
WorkloadActual  24: 1 op, 721500.00 ns, 721.5000 us/op
WorkloadActual  25: 1 op, 666800.00 ns, 666.8000 us/op
WorkloadActual  26: 1 op, 850000.00 ns, 850.0000 us/op
WorkloadActual  27: 1 op, 740700.00 ns, 740.7000 us/op
WorkloadActual  28: 1 op, 668200.00 ns, 668.2000 us/op
WorkloadActual  29: 1 op, 675700.00 ns, 675.7000 us/op
WorkloadActual  30: 1 op, 786200.00 ns, 786.2000 us/op
WorkloadActual  31: 1 op, 823900.00 ns, 823.9000 us/op
WorkloadActual  32: 1 op, 692900.00 ns, 692.9000 us/op
WorkloadActual  33: 1 op, 705200.00 ns, 705.2000 us/op
WorkloadActual  34: 1 op, 669800.00 ns, 669.8000 us/op
WorkloadActual  35: 1 op, 670500.00 ns, 670.5000 us/op
WorkloadActual  36: 1 op, 749900.00 ns, 749.9000 us/op
WorkloadActual  37: 1 op, 866800.00 ns, 866.8000 us/op
WorkloadActual  38: 1 op, 746000.00 ns, 746.0000 us/op
WorkloadActual  39: 1 op, 675600.00 ns, 675.6000 us/op
WorkloadActual  40: 1 op, 671600.00 ns, 671.6000 us/op
WorkloadActual  41: 1 op, 746800.00 ns, 746.8000 us/op
WorkloadActual  42: 1 op, 714400.00 ns, 714.4000 us/op
WorkloadActual  43: 1 op, 703000.00 ns, 703.0000 us/op
WorkloadActual  44: 1 op, 711200.00 ns, 711.2000 us/op
WorkloadActual  45: 1 op, 650000.00 ns, 650.0000 us/op
WorkloadActual  46: 1 op, 696000.00 ns, 696.0000 us/op
WorkloadActual  47: 1 op, 999900.00 ns, 999.9000 us/op
WorkloadActual  48: 1 op, 677200.00 ns, 677.2000 us/op
WorkloadActual  49: 1 op, 702100.00 ns, 702.1000 us/op
WorkloadActual  50: 1 op, 708800.00 ns, 708.8000 us/op
WorkloadActual  51: 1 op, 798200.00 ns, 798.2000 us/op
WorkloadActual  52: 1 op, 858400.00 ns, 858.4000 us/op
WorkloadActual  53: 1 op, 789800.00 ns, 789.8000 us/op
WorkloadActual  54: 1 op, 670100.00 ns, 670.1000 us/op
WorkloadActual  55: 1 op, 669600.00 ns, 669.6000 us/op
WorkloadActual  56: 1 op, 869500.00 ns, 869.5000 us/op
WorkloadActual  57: 1 op, 857500.00 ns, 857.5000 us/op
WorkloadActual  58: 1 op, 732000.00 ns, 732.0000 us/op
WorkloadActual  59: 1 op, 730300.00 ns, 730.3000 us/op
WorkloadActual  60: 1 op, 682900.00 ns, 682.9000 us/op
WorkloadActual  61: 1 op, 982700.00 ns, 982.7000 us/op
WorkloadActual  62: 1 op, 678000.00 ns, 678.0000 us/op
WorkloadActual  63: 1 op, 671700.00 ns, 671.7000 us/op
WorkloadActual  64: 1 op, 720100.00 ns, 720.1000 us/op
WorkloadActual  65: 1 op, 711100.00 ns, 711.1000 us/op
WorkloadActual  66: 1 op, 1013400.00 ns, 1.0134 ms/op
WorkloadActual  67: 1 op, 697500.00 ns, 697.5000 us/op
WorkloadActual  68: 1 op, 708600.00 ns, 708.6000 us/op
WorkloadActual  69: 1 op, 730600.00 ns, 730.6000 us/op
WorkloadActual  70: 1 op, 828400.00 ns, 828.4000 us/op
WorkloadActual  71: 1 op, 715600.00 ns, 715.6000 us/op
WorkloadActual  72: 1 op, 702800.00 ns, 702.8000 us/op
WorkloadActual  73: 1 op, 760100.00 ns, 760.1000 us/op
WorkloadActual  74: 1 op, 910900.00 ns, 910.9000 us/op
WorkloadActual  75: 1 op, 724500.00 ns, 724.5000 us/op
WorkloadActual  76: 1 op, 717700.00 ns, 717.7000 us/op
WorkloadActual  77: 1 op, 716100.00 ns, 716.1000 us/op
WorkloadActual  78: 1 op, 700100.00 ns, 700.1000 us/op
WorkloadActual  79: 1 op, 747500.00 ns, 747.5000 us/op
WorkloadActual  80: 1 op, 672900.00 ns, 672.9000 us/op
WorkloadActual  81: 1 op, 763400.00 ns, 763.4000 us/op
WorkloadActual  82: 1 op, 699200.00 ns, 699.2000 us/op
WorkloadActual  83: 1 op, 887800.00 ns, 887.8000 us/op
WorkloadActual  84: 1 op, 716700.00 ns, 716.7000 us/op
WorkloadActual  85: 1 op, 708700.00 ns, 708.7000 us/op
WorkloadActual  86: 1 op, 727300.00 ns, 727.3000 us/op
WorkloadActual  87: 1 op, 856800.00 ns, 856.8000 us/op
WorkloadActual  88: 1 op, 732100.00 ns, 732.1000 us/op
WorkloadActual  89: 1 op, 718300.00 ns, 718.3000 us/op
WorkloadActual  90: 1 op, 749800.00 ns, 749.8000 us/op
WorkloadActual  91: 1 op, 855400.00 ns, 855.4000 us/op
WorkloadActual  92: 1 op, 712300.00 ns, 712.3000 us/op
WorkloadActual  93: 1 op, 729900.00 ns, 729.9000 us/op
WorkloadActual  94: 1 op, 678400.00 ns, 678.4000 us/op
WorkloadActual  95: 1 op, 994200.00 ns, 994.2000 us/op
WorkloadActual  96: 1 op, 719600.00 ns, 719.6000 us/op
WorkloadActual  97: 1 op, 722000.00 ns, 722.0000 us/op
WorkloadActual  98: 1 op, 678300.00 ns, 678.3000 us/op
WorkloadActual  99: 1 op, 857200.00 ns, 857.2000 us/op
WorkloadActual  100: 1 op, 765900.00 ns, 765.9000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 724500.00 ns, 724.5000 us/op
WorkloadResult   2: 1 op, 683200.00 ns, 683.2000 us/op
WorkloadResult   3: 1 op, 851300.00 ns, 851.3000 us/op
WorkloadResult   4: 1 op, 754700.00 ns, 754.7000 us/op
WorkloadResult   5: 1 op, 694700.00 ns, 694.7000 us/op
WorkloadResult   6: 1 op, 651200.00 ns, 651.2000 us/op
WorkloadResult   7: 1 op, 686500.00 ns, 686.5000 us/op
WorkloadResult   8: 1 op, 735700.00 ns, 735.7000 us/op
WorkloadResult   9: 1 op, 703400.00 ns, 703.4000 us/op
WorkloadResult  10: 1 op, 720000.00 ns, 720.0000 us/op
WorkloadResult  11: 1 op, 670700.00 ns, 670.7000 us/op
WorkloadResult  12: 1 op, 667000.00 ns, 667.0000 us/op
WorkloadResult  13: 1 op, 707300.00 ns, 707.3000 us/op
WorkloadResult  14: 1 op, 800700.00 ns, 800.7000 us/op
WorkloadResult  15: 1 op, 718900.00 ns, 718.9000 us/op
WorkloadResult  16: 1 op, 708400.00 ns, 708.4000 us/op
WorkloadResult  17: 1 op, 666900.00 ns, 666.9000 us/op
WorkloadResult  18: 1 op, 671200.00 ns, 671.2000 us/op
WorkloadResult  19: 1 op, 844900.00 ns, 844.9000 us/op
WorkloadResult  20: 1 op, 714400.00 ns, 714.4000 us/op
WorkloadResult  21: 1 op, 673600.00 ns, 673.6000 us/op
WorkloadResult  22: 1 op, 671800.00 ns, 671.8000 us/op
WorkloadResult  23: 1 op, 721300.00 ns, 721.3000 us/op
WorkloadResult  24: 1 op, 666600.00 ns, 666.6000 us/op
WorkloadResult  25: 1 op, 849800.00 ns, 849.8000 us/op
WorkloadResult  26: 1 op, 740500.00 ns, 740.5000 us/op
WorkloadResult  27: 1 op, 668000.00 ns, 668.0000 us/op
WorkloadResult  28: 1 op, 675500.00 ns, 675.5000 us/op
WorkloadResult  29: 1 op, 786000.00 ns, 786.0000 us/op
WorkloadResult  30: 1 op, 823700.00 ns, 823.7000 us/op
WorkloadResult  31: 1 op, 692700.00 ns, 692.7000 us/op
WorkloadResult  32: 1 op, 705000.00 ns, 705.0000 us/op
WorkloadResult  33: 1 op, 669600.00 ns, 669.6000 us/op
WorkloadResult  34: 1 op, 670300.00 ns, 670.3000 us/op
WorkloadResult  35: 1 op, 749700.00 ns, 749.7000 us/op
WorkloadResult  36: 1 op, 866600.00 ns, 866.6000 us/op
WorkloadResult  37: 1 op, 745800.00 ns, 745.8000 us/op
WorkloadResult  38: 1 op, 675400.00 ns, 675.4000 us/op
WorkloadResult  39: 1 op, 671400.00 ns, 671.4000 us/op
WorkloadResult  40: 1 op, 746600.00 ns, 746.6000 us/op
WorkloadResult  41: 1 op, 714200.00 ns, 714.2000 us/op
WorkloadResult  42: 1 op, 702800.00 ns, 702.8000 us/op
WorkloadResult  43: 1 op, 711000.00 ns, 711.0000 us/op
WorkloadResult  44: 1 op, 649800.00 ns, 649.8000 us/op
WorkloadResult  45: 1 op, 695800.00 ns, 695.8000 us/op
WorkloadResult  46: 1 op, 677000.00 ns, 677.0000 us/op
WorkloadResult  47: 1 op, 701900.00 ns, 701.9000 us/op
WorkloadResult  48: 1 op, 708600.00 ns, 708.6000 us/op
WorkloadResult  49: 1 op, 798000.00 ns, 798.0000 us/op
WorkloadResult  50: 1 op, 858200.00 ns, 858.2000 us/op
WorkloadResult  51: 1 op, 789600.00 ns, 789.6000 us/op
WorkloadResult  52: 1 op, 669900.00 ns, 669.9000 us/op
WorkloadResult  53: 1 op, 669400.00 ns, 669.4000 us/op
WorkloadResult  54: 1 op, 869300.00 ns, 869.3000 us/op
WorkloadResult  55: 1 op, 857300.00 ns, 857.3000 us/op
WorkloadResult  56: 1 op, 731800.00 ns, 731.8000 us/op
WorkloadResult  57: 1 op, 730100.00 ns, 730.1000 us/op
WorkloadResult  58: 1 op, 682700.00 ns, 682.7000 us/op
WorkloadResult  59: 1 op, 677800.00 ns, 677.8000 us/op
WorkloadResult  60: 1 op, 671500.00 ns, 671.5000 us/op
WorkloadResult  61: 1 op, 719900.00 ns, 719.9000 us/op
WorkloadResult  62: 1 op, 710900.00 ns, 710.9000 us/op
WorkloadResult  63: 1 op, 697300.00 ns, 697.3000 us/op
WorkloadResult  64: 1 op, 708400.00 ns, 708.4000 us/op
WorkloadResult  65: 1 op, 730400.00 ns, 730.4000 us/op
WorkloadResult  66: 1 op, 828200.00 ns, 828.2000 us/op
WorkloadResult  67: 1 op, 715400.00 ns, 715.4000 us/op
WorkloadResult  68: 1 op, 702600.00 ns, 702.6000 us/op
WorkloadResult  69: 1 op, 759900.00 ns, 759.9000 us/op
WorkloadResult  70: 1 op, 724300.00 ns, 724.3000 us/op
WorkloadResult  71: 1 op, 717500.00 ns, 717.5000 us/op
WorkloadResult  72: 1 op, 715900.00 ns, 715.9000 us/op
WorkloadResult  73: 1 op, 699900.00 ns, 699.9000 us/op
WorkloadResult  74: 1 op, 747300.00 ns, 747.3000 us/op
WorkloadResult  75: 1 op, 672700.00 ns, 672.7000 us/op
WorkloadResult  76: 1 op, 763200.00 ns, 763.2000 us/op
WorkloadResult  77: 1 op, 699000.00 ns, 699.0000 us/op
WorkloadResult  78: 1 op, 716500.00 ns, 716.5000 us/op
WorkloadResult  79: 1 op, 708500.00 ns, 708.5000 us/op
WorkloadResult  80: 1 op, 727100.00 ns, 727.1000 us/op
WorkloadResult  81: 1 op, 856600.00 ns, 856.6000 us/op
WorkloadResult  82: 1 op, 731900.00 ns, 731.9000 us/op
WorkloadResult  83: 1 op, 718100.00 ns, 718.1000 us/op
WorkloadResult  84: 1 op, 749600.00 ns, 749.6000 us/op
WorkloadResult  85: 1 op, 855200.00 ns, 855.2000 us/op
WorkloadResult  86: 1 op, 712100.00 ns, 712.1000 us/op
WorkloadResult  87: 1 op, 729700.00 ns, 729.7000 us/op
WorkloadResult  88: 1 op, 678200.00 ns, 678.2000 us/op
WorkloadResult  89: 1 op, 719400.00 ns, 719.4000 us/op
WorkloadResult  90: 1 op, 721800.00 ns, 721.8000 us/op
WorkloadResult  91: 1 op, 678100.00 ns, 678.1000 us/op
WorkloadResult  92: 1 op, 857000.00 ns, 857.0000 us/op
WorkloadResult  93: 1 op, 765700.00 ns, 765.7000 us/op

// AfterAll
// Benchmark Process 10032 has exited with code 0

Mean = 727.425 μs, StdErr = 5.982 μs (0.82%), N = 93, StdDev = 57.688 μs
Min = 649.800 μs, Q1 = 682.700 μs, Median = 714.400 μs, Q3 = 746.600 μs, Max = 869.300 μs
IQR = 63.900 μs, LowerFence = 586.850 μs, UpperFence = 842.450 μs
ConfidenceInterval = [707.089 μs; 747.760 μs] (CI 99.9%), Margin = 20.335 μs (2.80% of Mean)
Skewness = 1.12, Kurtosis = 3.3, MValue = 2

// **************************
// Benchmark: JsonObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "068092ff-4344-4509-9990-50206e6cc891.dll" --benchmarkName "ObjectMapperBenchMark.Mappers.JsonObjectMapperBenchMark.AsArray(Rows: 100)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 9 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
